language,code,efficiency_score
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },84
Java,public class Main { public static void main(String[] args) { int[] arr = new int[10000]; for(int i=0;i<10000;i++){arr[i]=i;} } },77
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",61
JavaScript,for(let i=0;i<10;i++){console.log(i);},76
JavaScript,for(let i=0;i<10;i++){console.log(i);},80
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },93
JavaScript,console.log('Hello World');,72
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",55
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",61
JavaScript,console.log('Hello World');,64
Java,public class Main { public static void main(String[] args) { int[] arr = new int[10000]; for(int i=0;i<10000;i++){arr[i]=i;} } },83
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }",74
Python,print([i for i in range(10)]),59
JavaScript,console.log([...Array(10).keys()]);,51
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",50
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },56
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",59
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },67
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",63
JavaScript,for(let i=0;i<10;i++){console.log(i);},78
Python,"i=0
while i<10:
  print(i)
  i+=1",67
JavaScript,for(let i=0;i<10;i++){console.log(i);},64
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",75
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",74
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },75
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",84
Python,"from math import sqrt
print(sqrt(16))",74
Python,"a=[]
for i in range(10000): a.append(i)",79
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",53
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },61
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",78
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),74
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } },70
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",53
JavaScript,console.log(Math.sqrt(16));,80
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",53
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",52
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",72
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",63
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },91
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },90
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },75
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",55
JavaScript,console.log([...Array(10).keys()]);,51
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",72
JavaScript,console.log('Hello World');,73
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",62
Python,print([i for i in range(10)]),51
Python,for i in range(10): print(i),72
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },81
Python,"import numpy as np
a=np.arange(10)
print(a)",83
Python,for i in range(10): print(i),75
Python,"a=[]
for i in range(10000): a.append(i)",66
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },72
JavaScript,for(let i=0;i<10;i++){console.log(i);},79
Python,"import numpy as np
a=np.arange(10)
print(a)",97
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },54
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",63
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",70
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },52
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",52
Python,x = [i**2 for i in range(10000)],69
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",76
JavaScript,console.log(Math.sqrt(16));,96
JavaScript,console.log('Hello World');,66
Python,print([i for i in range(10)]),70
Python,x = [i**2 for i in range(10000)],81
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",75
Python,"from math import sqrt
print(sqrt(16))",71
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },75
JavaScript,for(let i=0;i<10;i++){console.log(i);},55
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } },81
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },77
Python,print('Hello World'),63
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",82
Python,for i in range(10): print(i),74
JavaScript,console.log([...Array(10).keys()]);,50
JavaScript,function fact(n){return n==0?1:n*fact(n-1);},80
Python,x = [i**2 for i in range(10000)],59
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },62
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },78
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },58
Python,for i in range(10): print(i),60
JavaScript,console.log('Hello World');,62
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",57
Python,"a=[]
for i in range(10000): a.append(i)",52
JavaScript,for(let i=0;i<10;i++){console.log(i);},55
Python,print([i for i in range(10)]),65
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",51
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },60
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",75
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),72
Python,"from math import sqrt
print(sqrt(16))",65
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },76
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",56
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",51
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",53
JavaScript,console.log(Math.sqrt(16));,87
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",87
JavaScript,"let  nums=[];
for(let  i=0;i<5000;i++){nums.push(i);}",70
Python,print('Hello World'),80
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",53
Python,"print('Hello World')
",71
Python,for  i  in  range(10):  print(i),53
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code"");
 } }",72
Python,"i=0
while i<10:
  print(i)
  i+=1",65
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Hello  World"");  }  }",58
Python,"import numpy as np
a=np.arange(10)
print(a)",95
JavaScript,console.log([...Array(10).keys()]);,55
Python,"i=0
while  i<10:
    print(i)
    i+=1",80
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",74
Python,for  i  in  range(10):  print(i),58
Python,print('Hello  World'),71
Python,"a=[]
for i in range(10000): a.append(i)
",57
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }
",65
Python,x  =  [i**2  for  i  in  range(10000)],72
Python,"i=0
while i<10:
  print(i)
  i+=1",76
JavaScript,"for(let i=0;i<10;i++){console.log(i);}
",71
JavaScript,"let i=0;

while(i<10){console.log(i);
i++;
}",56
JavaScript,"for(let i=0;i<10;i++){console.log(i);}
",47
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",69
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}
",81
JavaScript,"console.log('Hello World');
",72
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }
",65
Python,"import numpy as np
a=np.arange(10)
print(a)",81
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",47
Python,"a=[]
for i in range(10000): a.append(i)
",70
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },93
Java,"public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } }
",51
Python,"a=[]
for i in range(10000): a.append(i)
",71
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }
",72
Python,"from math import sqrt
print(sqrt(16))
",82
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",70
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",57
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },71
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",76
Python,x = [i**2 for i in range(10000)],78
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }",77
JavaScript,"console.log([...Array(10).keys()]);
",55
Python,"a=[]
for i in range(10000): a.append(i)
",57
Python,x  =  [i**2  for  i  in  range(10000)],76
Python,"import numpy as np
a=np.arange(10)
print(a)",97
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },72
Java,"public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16));
 } }",86
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",85
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",88
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",50
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},61
Python,"print('Hello World')
",70
Python,"from math import sqrt
print(sqrt(16))",73
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",84
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}
",75
JavaScript,"console.log(Math.sqrt(16));
",100
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },86
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },58
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},78
Python,"import numpy as np
a=np.arange(10)
print(a)",85
JavaScript,"console.log([...Array(10).keys()]);
",67
Python,"a=[]
for i in range(10000): a.append(i)
",55
JavaScript,"console.log([...Array(10).keys()]);
",80
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",55
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },48
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },81
Python,"print('Hello World')
",66
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res
",66
JavaScript,"console.log(Math.sqrt(16));
",83
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",72
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",82
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",60
Python,print('Hello World'),76
Java,public class Main { public static void main(String[] args) { int[] arr = new int[10000]; for(int i=0;i<10000;i++){arr[i]=i;} } },74
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Inefficient  code"");  }  }",67
Python,"for i in range(10): print(i)
",51
JavaScript,"console.log('Hello World');
",68
Python,print([i for i in range(10)]),70
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},74
Java,"public class Main { public static void main(String[] args) { int[] arr = new int[10000]; for(int i=0;i<10000;i++){arr[i]=i;} } }
",81
Java,"public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } }
",73
JavaScript,"let  nums=[];
for(let  i=0;i<5000;i++){nums.push(i);}",69
JavaScript,"console.log([...Array(10).keys()]);
",74
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }",65
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),68
JavaScript,"console.log('Hello World');
",75
JavaScript,"console.log('Hello World');
",72
Python,print('Hello World'),68
Java,"public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } }
",71
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",68
Python,for i in range(10): print(i),81
JavaScript,"console.log('Hello World');
",77
JavaScript,"let i=0;

while(i<10){console.log(i);
i++;
}",74
JavaScript,console.log('Hello  World');,68
Python,"i=0
while i<10:
  print(i)
  i+=1
",87
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",78
Java,"public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } }
",57
Python,"from math import sqrt
print(sqrt(16))",83
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",86
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Inefficient  code"");  }  }",87
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",69
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5));
 } static int factorial(int n){ return n==0?1:n*factorial(n-1);
 } }",85
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",76
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",77
Java,"public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16));
 } }",82
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",82
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",70
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code"");
 } }",79
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",69
JavaScript,console.log(Math.sqrt(16));,94
Python,for i in range(10): print(i),56
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5));
 } static int factorial(int n){ return n==0?1:n*factorial(n-1);
 } }",67
JavaScript,console.log([...Array(10).keys()]);,69
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }",71
Python,print('Hello World'),79
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },71
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",70
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",81
Python,"x = [i**2 for i in range(10000)]
",55
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),70
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Hello  World"");  }  }",59
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",59
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },77
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",81
Python,"i=0
while i<10:
  print(i)
  i+=1",80
Python,print([i for i in range(10)]),71
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",87
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",64
Python,"a=[]
for i in range(10000): a.append(i)
",81
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",64
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",49
Python,print('Hello World'),71
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",58
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",55
Python,x = [i**2 for i in range(10000)],76
Python,"import  numpy  as  np
a=np.arange(10)
print(a)",84
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },61
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },74
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }
",75
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },63
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },70
Python,for  i  in  range(10):  print(i),67
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",69
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",62
Java,"public class Main { public static void main(String[] args) { int[] arr = new int[10000];
 for(int i=0;
i<10000;
i++){arr[i]=i;
} } }",55
JavaScript,"console.log('Hello World');
",71
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  arr  =  new  int[10000];  for(int  i=0;i<10000;i++){arr[i]=i;}  }  },58
Python,"x = [i**2 for i in range(10000)]
",63
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",54
JavaScript,"let i=0;

while(i<10){console.log(i);
i++;
}",63
Python,"a=[]
for i in range(10000): a.append(i)
",71
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },72
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Hello  World"");  }  }",69
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",51
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },88
Python,"i=0
while i<10:
  print(i)
  i+=1
",82
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World"");
 } }",64
Python,"a=[]
for i in range(10000): a.append(i)",61
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",85
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },47
Python,"a=[]
for i in range(10000): a.append(i)
",70
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },69
Python,"import numpy as np
a=np.arange(10)
print(a)",86
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000];
 for(int i=0;
i<5000;
i++){nums[i]=i;
} } }",72
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",75
JavaScript,"let  nums=[];
for(let  i=0;i<5000;i++){nums.push(i);}",78
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}
",65
JavaScript,console.log([...Array(10).keys()]);,71
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",81
Python,"a=[]
for  i  in  range(10000):  a.append(i)",72
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},64
JavaScript,"console.log(Math.sqrt(16));
",91
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},74
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",78
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Hello  World"");  }  }",69
JavaScript,console.log(Math.sqrt(16));,75
Python,print([i  for  i  in  range(10)]),61
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",68
Python,"for i in range(10): print(i)
",51
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },89
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",77
Python,for i in range(10): print(i),60
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}
",72
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",87
JavaScript,"let nums=[];

for(let i=0;
i<5000;
i++){nums.push(i);
}",87
Python,"i=0
while i<10:
  print(i)
  i+=1",47
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",84
Python,"import numpy as np
a=np.arange(10)
print(a)",87
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res
",80
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",61
JavaScript,for(let i=0;i<10;i++){console.log(i);},83
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",63
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",88
Python,"x = [i**2 for i in range(10000)]
",48
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",83
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  i=0;  while(i<10){System.out.println(i);i++;}  }  },77
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },85
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},66
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},83
Java,"public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } }
",93
Python,"import  numpy  as  np
a=np.arange(10)
print(a)",81
Python,"print('Hello World')
",80
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",80
Python,"print([i for i in range(10)])
",71
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  sum=0;  for(int  i=0;i<10000;i++){sum+=i;}  System.out.println(sum);  }  },73
Java,"public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } }
",65
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",83
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},53
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },76
Python,"for i in range(10): print(i)
",63
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }
",86
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }
",53
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",63
JavaScript,console.log([...Array(10).keys()]);,60
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",80
JavaScript,console.log(Math.sqrt(16));,93
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",60
Python,print([i for i in range(10)]),79
JavaScript,"console.log(Math.sqrt(16));
",92
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",62
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",51
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",74
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },56
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",85
JavaScript,console.log([...Array(10).keys()]);,89
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },60
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },55
Python,for i in range(10): print(i),50
Python,"print([i for i in range(10)])
",70
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },65
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",85
JavaScript,"let  arr=[];
for(let  i=0;i<10000;i++){arr.push(i);}",70
Python,for i in range(10): print(i),62
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code"");
 } }",81
JavaScript,"console.log(Math.sqrt(16));
",85
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",55
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},65
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",70
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },66
JavaScript,for(let  i=0;i<10;i++){console.log(i);},83
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",85
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  arr  =  new  int[10000];  for(int  i=0;i<10000;i++){arr[i]=i;}  }  },78
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code"");
 } }",55
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }
",54
Python,def factorial(n): return  1 if n==0 else n*factorial(n-1),89
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",62
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Hello  World"");  }  }",71
JavaScript,"console.log([...Array(10).keys()]);
",71
Python,"from math import sqrt
print(sqrt(16))
",77
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } }
",64
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",88
JavaScript,"console.log([...Array(10).keys()]);
",62
Python,x = [i**2 for i in range(10000)],63
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5));
 } static int factorial(int n){ return n==0?1:n*factorial(n-1);
 } }",85
Python,for  i  in  range(10):  print(i),70
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",78
JavaScript,console.log(Math.sqrt(16));,90
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  sum=0;  for(int  i=0;i<10000;i++){sum+=i;}  System.out.println(sum);  }  },75
JavaScript,"let  i=0;
while(i<10){console.log(i);i++;}",59
JavaScript,"let  nums=[];
for(let  i=0;i<5000;i++){nums.push(i);}",78
Python,"import numpy as np
a=np.arange(10)
print(a)",88
Python,print([i for i in range(10)]),81
Python,print([i for i in range(10)]),70
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },82
JavaScript,"let  nums=[];
for(let  i=0;i<5000;i++){nums.push(i);}",86
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",74
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",76
JavaScript,"let  x  =  Array.from({length:10000},  (_,i)=>i*i);",51
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },87
JavaScript,"let  arr=[];
for(let  i=0;i<10000;i++){arr.push(i);}",57
JavaScript,console.log(Math.sqrt(16));,92
Python,"from math import sqrt
print(sqrt(16))
",73
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },70
Python,x  =  [i**2  for  i  in  range(10000)],56
JavaScript,console.log('Hello World');,64
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",74
JavaScript,console.log([...Array(10).keys()]);,68
Python,for i in range(10): print(i),78
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",53
Python,"import  numpy  as  np
a=np.arange(10)
print(a)",100
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",75
JavaScript,"console.log(Math.sqrt(16));
",84
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",63
